S104	-5.099	55.96
S105	-5.199	55.93
S106	-5.137	55.90
S107	-5.019	55.81
S108	-5.017	55.72
S109	-5.083	55.76
S110	-5.225	55.82
S111	-5.254	55.72
S112	-5.158	55.67
S113	-5.121	55.58
S114	-5.089	55.48
S115	-5.165	55.42
S116	-5.304	55.46
S117	-5.346	55.54
S118	-5.394	55.58
S119	-5.503	55.52
S120	-5.547	55.43
S121	-5.547	55.33
S122	-5.623	55.31
S123	-5.721	55.28
S124	-5.776	55.29
S125	-5.854	55.10
S126	-5.758	55.00
S127	-5.610	54.90
S128	-5.284	54.91
S129	-5.254	55.05
S130	-5.167	55.14
S131	-6.693	55.19
S132	-6.640	55.20
S133	-6.539	55.26
S134	-6.438	55.26
S135	-6.339	55.27
S136	-6.206	55.24
S137	-6.118	55.26
S138	-6.068	55.20
S139	-5.807	55.33
S140	-5.794	55.38
S141	-5.782	55.42
S142	-5.759	55.43
S143	-5.738	55.47
S144	-5.714	55.52
S145	-5.714	55.60
S146	-5.674	55.68
S147	-5.634	55.76
S148	-5.687	55.85
S149	-5.706	55.96
S150	-5.663	56.05
S151	-5.595	56.15
S152	-5.752	56.01
S153	-5.833	55.92
S154	-5.926	55.84
S155	-6.009	55.77
S156	-6.030	55.65
S157	-6.258	55.53
S158	-6.337	55.58
S159	-6.365	55.70
S160	-6.517	55.68
S161	-6.517	55.41
S162	-6.288	55.44
S163	-5.901	55.55
S164	-5.844	55.73
S165	-5.797	55.84
S166	-8.127	55.47
S167	-8.027	55.32
S168	-7.944	55.23
S169	-7.865	55.24
S170	-7.800	55.26
S171	-7.730	55.29
S172	-7.626	55.27
S173	-7.571	55.23
S174	-7.517	55.13
S175	-7.481	55.29
S176	-7.398	55.31
S177	-7.315	55.37
S178	-7.216	55.38
S179	-7.154	55.35
S180	-7.089	55.31
S181	-7.000	55.29
S182	-6.943	55.25
S183	-7.082	55.14
S184	-6.991	55.16
S185	-6.892	55.21
S186	-6.834	55.17
S187	-6.761	55.17
S188	-7.973	55.37
S189	-7.831	55.37
S190	-7.668	55.37
S191	-7.494	55.40
S192	-7.247	55.42
S193	-7.109	55.42
S194	-6.972	55.41
S195	-6.858	55.35
S196	-5.172	56.85
S197	-5.171	56.77
S198	-5.279	56.69
S199	-5.371	56.64
S200	-5.440	56.57
S201	-5.515	56.55
S202	-5.631	56.47
S203	-5.827	56.53
S204	-5.973	56.56
S205	-6.041	56.63
S206	-6.157	56.66
S207	-6.284	56.66
S208	-6.324	56.55
S209	-6.326	56.49
S210	-6.255	56.54
S211	-6.226	56.37
S212	-6.435	56.36
S213	-6.399	56.27
S214	-6.340	56.24
S215	-6.274	56.24
S216	-6.238	56.26
S217	-6.013	56.28
S218	-6.490	55.81
S219	-6.376	55.89
S220	-6.266	55.93
S221	-6.157	55.98
S222	-6.040	55.98
S223	-5.946	56.05
S224	-5.887	56.09
S225	-6.892	56.44
S226	-6.820	56.48
S227	-6.768	56.50
S228	-6.688	56.53
S229	-6.559	56.58
S230	-6.458	56.61
S231	-6.427	56.18
S232	-6.284	56.20
S233	-5.912	56.17
S234	-6.685	56.44
S235	-6.762	57.39
S236	-6.694	57.33
S237	-6.644	57.32
S238	-6.612	57.30
S239	-6.514	57.30
S240	-6.451	57.24
S241	-6.420	57.18
S242	-6.290	57.13
S243	-6.196	57.10
S244	-6.119	57.10
S245	-6.079	57.10
S246	-6.016	56.97
S247	-5.909	57.02
S248	-5.836	57.07
S249	-5.790	57.30
S250	-5.849	57.00
S251	-5.968	56.90
S252	-5.952	56.82
S253	-6.028	56.82
S254	-6.152	56.81
S255	-6.235	56.73
S256	-6.241	56.91
S257	-6.177	56.97
S258	-6.287	56.90
S259	-6.394	56.93
S260	-6.480	57.00
S261	-6.573	57.03
S262	-6.558	56.70
S263	-6.649	56.66
S264	-6.775	56.63
S265	-6.894	56.59
S266	-6.960	56.56
S267	-7.000	56.54
S268	-7.007	56.50
S269	-7.511	56.85
S270	-7.464	56.91
S271	-7.350	56.95
S272	-7.277	56.02
S273	-7.209	57.08
S274	-7.212	57.17
S275	-7.203	57.23
S276	-7.137	57.33
S277	-7.161	57.42
S278	-7.132	57.50
S279	-6.669	57.27
S280	-6.557	57.25
S281	-5.467	57.39
S282	-5.566	57.35
S283	-5.705	57.33
S284	-5.815	57.29
S285	-5.824	57.37
S286	-5.845	57.44
S287	-5.994	57.42
S288	-5.992	57.92
S289	-5.946	57.59
S290	-6.010	57.51
S291	-6.085	57.42
S292	-6.147	57.42
S293	-6.138	57.46
S294	-6.147	57.57
S295	-6.215	57.65
S296	-6.294	57.71
S297	-6.379	57.66
S298	-6.433	57.64
